"","hell_Earthworms","hell_Ants","hell_Termites"
"1",1.63299316185545,0.816496580927726,0
"2",0,2.21336383940064,0
"3",1.46089618140164,1.60033158545367,0
"4",1.28718850581117,0.910179721124455,0
"5",0.589428793600653,2.12521573856203,2.08394548490814
"6",0.577417185935793,4.32099455801376,0
"7",0,1.37424299889005,1.53645038156066
"8",1.39204404064865,2.52877357955351,0.622541020512772
"10",0,2,0
"11",0.870715239286136,1.40398613689926,2.86146226632315
"12",2.73556479973476,0,0
"13",1.28552956691324,5.71144604168682,0.464278720739491
"14",1.31225130831417,1.73594530970922,0
"15",3.06281431360879,0,0
"16",0,1.68179283050743,0
"17",0,3.5341188430494,0
"18",0,1.5595815413015,2.88276600308775
"19",0,1.68179283050743,0
"20",0,1.46410161513775,1.26794919243112
"21",1.66780666516675,1.73076477122876,0.925132684433742
"22",0,1.42382418706118,3.64077762014082
"23",0,0.913523481867457,3.98195654001166
"24",0,1.70535137934002,4.50041088905185
"25",0.59914631870629,1.6946416995207,4.38237751114991
"26",0,1.68179283050743,0
"27",0,2,0
"28",0,1.37424299889005,1.53645038156066
"29",0.669341822598582,2.318668088743,0
"30",0,3.02740010403509,0
"32",0.652949786596367,3.65496383195633,0.997397274027705
"35",0,4.41875912732721,0.413854710345177
"36",0,1.8612097182042,0
"37",1.4142135623731,0,0
"38",0,1.4142135623731,0
"39",0,0,1.8612097182042
"40",0,1.68179283050743,0
"41",2.1536618212313,1.19463663483978,0
"42",1.3809502058998,1.12754112154862,0
"43",1.3809502058998,1.12754112154862,0
"44",1.76233610336685,1.01748522368145,0
"45",0.577350269189626,2.3094010767585,0.577350269189626
"46",3.16227766016838,0,0
"47",1.48194211179338,0.855599677167352,0
"48",1.8612097182042,0,0
"49",2.13119453356013,0.953099170063282,0.550272062400445
"50",0,0.910179721124455,1.28718850581117
"51",1.28718850581117,0.910179721124455,0
"52",0,0.905513788468107,2.21804673680136
"53",2,0,0
"54",2.21336383940064,0,0
"55",0.910179721124455,1.28718850581117,0
"56",0.563816533209767,2.98343666387927,0
"57",0.951926298955936,2.01934062354466,0
"58",0,2.520402657166,1.20155482172148
"59",0,4.17559525985969,0
"60",0,3.85128510684308,0
"61",0,1.8612097182042,0
"62",0,2.11474252688113,0
"63",1.4142135623731,0,0
"64",1.11178594050284,2.48602893939289,0
"65",0,3.06281431360879,0
"66",1.82035944224891,0.643594252905583,0.643594252905583
"67",1.78828179050031,1.17070523841126,0
"68",1.68179283050743,0,0
"69",1.12313762250634,4.21903939994147,0
"71",1.96831371158866,1.24487089567199,0
"72",0,1.8612097182042,0
"74",0,2.95259172373719,0
"75",0,1.8612097182042,0
"76",1.48194211179338,0.855599677167352,0
"77",0.910179721124455,1.28718850581117,0
"78",1.4142135623731,0,0
"79",1,1,0
"81",0,5.63462649452252,0
"83",0.590752976498127,1.95930596682993,0.835450871375926
"84",0.595187944212086,1.19037588842417,1.57471928372897
"85",0.5,3.5,0
"86",1.4142135623731,0,0
"87",0.951926298955936,2.01934062354466,0
"88",0,2.11474252688113,0
"89",2.8716217110259,0,0
"90",1.98395647394693,1.10050104540067,0.550250522700337
